new_path,new_filename,original_path,original_filename,exam,tier,year,shift,date,type,provider,subjects,language,q_count,content_hash,file_size_bytes
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-05_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-05_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -5 [36],Computer Test -5.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,836aab79316607a03e7af91d46a8b24b270cc1f73e41aaf3b1f4d53e074a122e,101586
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-10_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-10_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -10 [41],Computer Test -10.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,8ae15e635d23b047e6fdc2d369ee6b7c4528e0fa432ab4c131821830fffb8cc7,88865
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-17_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-17_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -17 [48],Computer Test -17.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,6ea06b9a3fb8ef959861a698add654ec13933da9c4544df2de9148148dd2f93c,88819
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-01_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-01_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -1 [32],Computer Test -1.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,52e83ddf309c933d9d4ebfaffaef606fb939b5321dff9f83ecde907934223fa2,91288
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-02_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-02_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -2 [33],Computer Test -2.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,12b58222ad8a8a43620755c083bab14a90d8b0dc9421ca38f77c1ab9e5cb304f,81339
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-04_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-04_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -4 [35],Computer Test -4.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,64fc0cdfe5fa38859307ba1c2e54b277364e19cb5d01d8e48153297ac3fa33fd,80413
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-12_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-12_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -12 [43],Computer Test -12.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,219fa3234cb32f77d59690dd3eab1497a90d6bace0ae0325a6a07ad4f2e3e640,108356
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-03_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-03_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -3 [34],Computer Test -3.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,589d70de517b081c85c230058d284ff89a1f289397189095a4b3065443bf9fe1,92382
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-20_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-20_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -20 [51],Computer Test -20.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,814962eca98714eabbc71e733f2dbc5562744f284ef9ad3a4773f63be8e737a3,82992
SSC_CGL/Unknown_Year/Unknown_Tier/MocksWallah/MocksWallah_PracticeTest_Test-18_SSC_CGL_Unknown_Tier.html,MocksWallah_PracticeTest_Test-18_SSC_CGL_Unknown_Tier.html,Computer CGL T -2/Computer Test -18 [49],Computer Test -18.html,SSC CGL|SSC CHSL|SSC MTS|CDS,Unknown,,,,Practice Test,Mocks Wallah,Computer,English,2,7c6977fd24f4603deea280ac31869ed1cb7ee021fae1aa1cda61c6e24a07a8d0,82184
